,has_company_logo,employment_type,required_experience,required_education,industry,function,fraudulent,state,words_count,words_mapped
0,1,3,4,6,84,22,0,35,1582,2
1,1,2,6,6,84,23,0,13,1580,2
2,1,1,5,1,22,32,0,8,3352,4
3,1,1,5,1,50,16,0,10,2685,3
4,0,2,6,6,84,23,0,21,2256,2
5,1,2,6,6,84,23,0,5,2722,3
6,1,1,0,6,56,23,0,10,1025,1
7,1,4,2,4,39,7,0,4,1845,2
8,0,1,5,1,56,18,0,32,3476,4
9,1,1,0,1,70,18,0,7,2238,2
10,1,1,6,6,35,24,0,10,881,1
11,1,2,6,6,84,23,0,35,1042,1
12,0,1,6,6,84,23,0,39,1827,2
13,1,2,6,6,84,22,0,44,2176,2
14,1,1,3,6,59,32,0,5,2415,2
15,1,2,6,6,84,23,0,35,3552,5
16,0,1,6,6,70,23,0,25,1105,1
17,1,1,2,4,22,7,0,20,2789,3
18,1,1,0,6,22,12,0,17,671,1
19,1,1,2,6,23,24,0,48,1726,2
20,1,1,6,1,85,12,0,5,1905,2
21,1,0,6,1,31,23,0,35,171,0
22,1,0,6,1,31,23,0,35,158,0
23,0,1,5,1,85,12,0,44,1360,1
24,1,1,2,4,39,1,0,15,2375,2
25,1,0,6,1,31,23,0,39,171,0
26,1,0,6,1,31,23,0,5,171,0
28,1,1,2,4,26,7,0,21,1308,1
29,1,1,2,4,22,7,0,37,2899,3
30,1,1,6,6,11,32,0,30,1944,2
31,1,1,2,4,39,1,0,43,1892,2
32,1,0,6,1,31,23,0,36,171,0
33,1,1,2,4,37,7,0,31,1769,2
34,1,1,2,4,41,26,0,34,799,1
35,1,1,2,4,31,1,0,37,2068,2
36,1,1,6,6,56,23,0,35,791,1
37,0,1,0,1,39,18,0,35,1036,1
38,1,2,6,6,84,23,0,24,1764,2
39,1,2,6,6,84,23,0,24,1763,2
40,1,1,0,1,22,22,0,44,1074,1
41,1,1,6,6,56,9,0,5,1649,2
42,1,0,2,1,31,11,0,13,150,0
43,1,1,2,4,42,35,0,13,2596,3
44,1,0,6,1,31,23,0,5,171,0
45,1,1,2,4,50,7,0,7,2130,2
46,0,2,6,6,84,23,0,0,1660,2
47,0,1,6,6,84,23,0,39,375,0
48,0,1,6,6,84,23,0,36,1835,2
49,0,0,6,6,84,18,0,5,1066,1
50,1,1,0,4,8,7,0,35,1300,1
51,1,4,2,4,39,7,0,10,1798,2
52,1,4,2,4,57,1,0,31,1603,2
53,1,1,0,4,50,16,0,44,2481,3
54,0,1,5,1,22,18,0,11,1769,2
55,0,1,5,6,8,5,0,39,3062,3
56,1,0,6,1,31,23,0,5,171,0
57,1,1,2,4,39,7,0,5,2271,2
58,1,1,2,4,26,7,0,18,1986,2
59,1,4,2,4,37,7,0,28,1591,2
60,1,1,0,1,39,14,0,5,3022,3
61,1,1,2,4,50,1,0,24,2161,2
62,1,1,2,4,57,7,0,43,2016,2
63,1,1,0,1,73,22,0,35,1671,2
64,0,1,2,4,26,17,0,41,1186,1
65,1,1,2,4,39,1,0,5,1485,1
66,1,1,1,5,59,22,0,0,1451,1
67,1,1,2,4,26,7,0,39,1635,2
68,1,1,5,4,85,24,1,0,3236,4
69,1,0,6,1,31,23,0,35,171,0
70,1,2,6,6,84,23,0,28,627,1
71,1,1,2,4,39,7,0,35,1796,2
72,0,2,6,6,84,23,0,39,80,0
73,1,1,5,1,59,18,0,10,3388,4
74,0,1,5,6,22,27,0,28,1554,2
75,1,1,1,1,70,20,0,44,2917,3
76,1,1,2,4,50,7,0,7,1873,2
77,1,4,2,4,50,7,0,16,1822,2
78,1,4,2,4,57,7,0,38,1838,2
79,1,2,6,6,84,32,0,5,2522,3
80,1,1,2,1,59,1,0,5,2325,2
81,1,2,6,6,84,23,0,15,641,1
82,1,1,1,6,22,23,0,35,1647,2
83,1,0,6,1,31,23,0,20,171,0
84,1,1,0,4,26,1,0,7,2602,3
85,1,0,6,1,31,23,0,6,171,0
86,1,4,2,4,31,7,0,10,1702,2
87,1,1,0,1,73,22,0,35,1106,1
88,1,1,0,6,91,32,0,11,2175,2
89,1,5,4,8,38,23,0,13,1876,2
90,1,1,2,4,115,7,0,44,2788,3
91,1,1,2,4,57,7,0,31,1526,2
92,1,0,6,1,31,23,0,34,171,0
93,1,0,6,1,31,23,0,28,171,0
94,1,1,2,4,115,7,0,44,1435,1
95,1,1,2,4,39,7,0,35,2289,2
96,1,1,2,4,37,7,0,35,1786,2
97,1,0,6,1,31,23,0,39,171,0
98,1,1,2,4,64,7,0,5,1953,2
99,1,0,2,1,31,11,0,44,197,0
100,1,1,2,4,115,7,0,44,1435,1
101,0,1,6,6,84,23,0,39,413,0
102,1,1,5,1,22,32,0,39,3351,4
103,1,1,0,6,73,18,0,4,1337,1
104,1,0,6,1,31,23,0,25,171,0
105,1,1,5,1,68,32,0,35,3314,4
106,0,0,6,4,69,26,0,20,1116,1
107,0,1,0,4,104,7,0,32,2360,2
108,1,2,6,6,84,23,0,46,85,0
109,1,0,6,1,31,23,0,2,171,0
110,0,0,6,6,84,7,0,0,1281,1
111,1,2,6,6,84,23,0,7,650,1
112,0,1,0,4,74,21,0,49,1782,2
113,0,1,1,1,84,23,0,23,946,1
114,1,1,2,4,26,7,0,7,2029,2
115,0,1,2,4,39,32,0,21,1762,2
116,1,1,2,4,39,7,0,42,1748,2
118,1,1,0,6,27,32,0,0,962,1
119,1,4,2,4,39,1,0,35,1772,2
120,1,0,6,1,31,23,0,46,171,0
121,1,3,2,4,39,23,0,45,1217,1
122,1,1,1,1,73,34,0,15,1930,2
123,1,0,6,1,31,23,0,5,171,0
124,1,1,6,6,85,12,0,44,1921,2
125,0,1,5,1,50,16,0,0,384,0
126,1,1,2,4,64,1,0,5,2346,2
127,1,4,2,8,77,24,0,0,381,0
128,1,0,6,1,31,23,0,36,171,0
129,1,0,6,1,31,23,0,3,171,0
130,0,1,2,4,39,32,0,3,1762,2
131,0,2,6,6,84,23,0,0,1014,1
132,0,1,5,1,50,18,0,7,3268,4
133,1,0,6,1,31,23,0,35,171,0
134,1,2,6,6,84,23,0,15,1755,2
135,1,0,6,1,31,23,0,36,171,0
136,0,1,5,1,22,18,0,0,139,0
137,1,1,2,1,24,7,0,5,2040,2
138,1,1,2,4,26,7,0,18,1904,2
139,1,0,6,1,31,23,0,10,171,0
140,1,1,2,4,50,7,0,22,1789,2
141,1,4,2,4,26,7,0,10,1744,2
142,1,1,2,4,26,7,0,16,1898,2
143,0,2,6,6,84,23,0,5,3608,6
144,1,1,5,4,85,24,1,5,3250,4
145,1,0,6,1,31,23,0,27,171,0
146,1,1,5,4,82,20,0,35,3013,3
147,1,0,6,1,31,23,0,5,171,0
148,1,1,2,4,31,7,0,37,2335,2
149,1,0,6,1,31,23,0,5,171,0
150,1,1,0,4,8,7,0,20,1294,1
151,0,1,0,2,56,18,0,43,2083,2
153,1,0,6,1,31,23,0,15,171,0
154,1,0,5,1,56,18,0,8,3545,5
155,1,0,6,1,31,23,0,4,171,0
156,0,1,6,6,84,23,0,25,1533,2
157,1,1,2,4,39,7,0,44,1838,2
158,0,2,6,6,84,23,0,15,2474,3
159,1,0,6,1,31,23,0,5,171,0
160,0,1,6,6,84,23,0,20,333,0
161,1,0,6,1,31,23,0,39,158,0
162,0,1,6,6,84,23,0,15,414,0
163,1,1,6,6,56,22,0,35,1675,2
164,1,1,6,6,59,1,0,10,1845,2
165,1,1,2,4,39,15,0,46,1595,2
166,0,1,5,6,56,25,0,6,1331,1
167,0,1,2,4,84,7,0,7,450,0
168,1,1,5,6,39,32,0,35,1813,2
169,0,0,5,6,56,18,0,28,792,1
170,1,2,6,6,84,23,0,35,1784,2
171,0,2,6,6,84,23,0,5,3476,4
172,1,1,2,4,39,1,0,35,1846,2
173,1,0,6,1,31,23,0,32,171,0
174,1,2,6,6,84,31,0,5,1148,1
175,1,1,6,6,85,23,0,44,850,1
176,0,1,6,6,73,23,0,23,252,0
177,1,0,6,1,31,23,0,15,171,0
178,1,1,5,1,59,32,0,5,3124,3
179,1,0,6,1,31,23,0,10,158,0
180,1,1,5,1,56,32,0,35,2869,3
181,1,0,6,1,31,23,0,25,171,0
182,1,1,1,1,22,27,0,44,3102,3
183,1,1,6,6,84,23,0,38,1788,2
184,1,1,5,1,22,32,0,5,3010,3
185,1,0,6,1,31,23,0,39,171,0
186,1,1,2,6,22,32,0,5,2975,3
187,1,1,0,1,59,9,0,39,1966,2
188,1,2,6,6,11,32,0,25,2930,3
189,1,3,4,1,22,12,0,8,1357,1
190,1,2,6,6,84,31,0,0,1591,2
191,1,1,0,1,25,0,0,35,2730,3
192,1,0,6,1,31,23,0,2,171,0
193,1,1,2,6,39,23,0,34,2082,2
194,1,1,0,1,22,18,0,44,2047,2
195,1,1,6,6,26,32,0,44,1477,1
196,1,4,2,4,26,7,0,36,1777,2
197,1,1,2,6,39,23,0,46,2045,2
198,1,1,6,6,50,23,0,44,717,1
199,0,1,6,1,118,12,0,37,489,0
200,1,1,2,4,64,24,0,5,2588,3
201,1,0,6,1,31,23,0,23,171,0
202,1,1,2,4,39,7,0,35,2703,3
203,1,0,6,1,31,23,0,44,171,0
204,1,4,2,4,39,1,0,15,1573,2
205,1,0,6,1,31,23,0,36,171,0
206,1,1,0,1,56,27,0,11,3623,6
207,1,1,6,6,48,20,0,41,1267,1
208,1,1,0,1,73,30,0,5,1959,2
209,1,1,0,1,39,23,0,46,1520,2
210,1,1,5,1,73,34,0,5,2745,3
211,1,0,6,1,31,23,0,13,171,0
212,1,0,6,1,31,23,0,25,171,0
213,1,1,0,1,59,22,0,39,2924,3
214,1,0,6,1,31,23,0,36,165,0
215,1,2,6,6,84,23,0,0,1811,2
216,1,0,6,6,84,23,0,0,965,1
217,1,1,2,6,56,18,0,35,2082,2
218,1,2,6,6,84,22,0,5,1209,1
219,1,1,2,4,64,1,0,4,1314,1
220,1,0,2,1,31,11,0,3,150,0
221,1,2,6,6,84,23,0,35,1547,2
222,1,5,6,6,84,23,0,20,1192,1
223,1,1,1,1,38,7,0,44,2408,2
224,1,0,6,1,31,23,0,39,165,0
225,1,0,6,1,31,23,0,23,171,0
226,1,1,0,6,67,35,0,10,3569,5
227,0,1,5,1,22,18,0,0,14,0
228,1,1,6,1,95,11,0,24,2648,3
229,1,1,2,4,39,7,0,7,2106,2
230,0,0,0,6,6,23,1,15,72,0
231,1,4,2,4,39,7,0,35,1842,2
232,0,4,6,6,84,23,0,8,1393,1
233,1,1,0,1,57,6,0,39,2630,3
234,1,0,6,1,31,23,0,28,171,0
235,1,1,1,0,56,32,0,15,2081,2
237,1,1,5,1,34,27,0,6,2271,2
238,0,2,6,6,84,23,0,5,1360,1
239,1,1,1,1,59,22,0,16,3355,4
240,1,1,4,5,39,6,0,5,2603,3
241,0,1,6,6,84,23,0,44,1982,2
242,0,1,5,4,23,15,0,24,3132,3
243,1,1,2,4,39,7,0,35,2251,2
244,0,1,5,1,39,18,0,35,1988,2
245,1,1,2,1,73,9,0,44,2109,2
246,0,1,0,1,78,18,0,38,1270,1
247,0,1,5,1,56,18,0,35,631,1
248,0,1,5,6,56,18,0,35,644,1
249,1,1,6,6,61,23,0,35,56,0
250,0,1,6,6,73,23,0,15,298,0
251,0,1,5,6,56,18,0,5,1316,1
252,1,0,6,1,31,23,0,36,171,0
253,1,1,5,6,56,30,0,35,907,1
255,1,4,2,4,22,1,0,48,2172,2
